replicate,n,q,ENE,beta.mu,sigma,x.cor,model,train.oracle.rsq,model.rsq.test,model.rsq.Ey.test,model.mse.test,meanSStot,nme,n2fi1par,n2fi2par,execution.time,seed
1,1000,20,20,3,0.5,0.8,rf,0.999650077426557,0.878419117735212,0.878721163211487,123.492599591715,776.958095081459,11,6,6,58.2682399749756,10110
1,250,50,20,3,0.5,0.8,rf,0.999562576531967,0.686815009588556,0.687704650897803,160.497505536242,441.72191346947,11,6,6,18.1772410869598,10111
1,1000,50,20,3,0.5,0.8,rf,0.999433033371947,0.759466170339577,0.760230257539784,122.349476445415,407.190088348446,9,4,7,121.37837600708,10112
1,250,20,10,1,2,0.8,rf,0.588954691806053,0.421457070039197,0.761064099018416,5.35406927890016,9.22901087460865,3,1,0,7.38325309753418,10113
1,1000,20,10,1,2,0.8,rf,0.663718368664366,0.611680861836605,0.903547197243312,5.00154208759846,12.60525039908,4,1,0,53.5490689277649,10114
1,250,50,10,1,2,0.8,rf,0.256510409490831,0.22196942997888,0.685844317053494,4.67883897173548,5.97230435138033,2,0,0,23.8615570068359,10115
1,1000,50,10,1,2,0.8,rf,0.849802711878654,0.703874038872032,0.832936394017909,8.09747257216548,24.9609921446002,7,2,2,102.7398250103,10116
1,250,20,20,1,2,0.8,rf,0.968726297188017,0.839478746397329,0.874441627384077,21.2268568637428,97.9374824115499,12,3,7,7.84947800636292,10117
1,1000,20,20,1,2,0.8,rf,0.917192190089694,0.824202844522995,0.891077941335991,11.1132831706443,54.0655435319211,9,4,4,49.1382529735565,10118
1,250,50,20,1,2,0.8,rf,0.731674761773579,0.460664057173202,0.579981955040821,11.4800730943019,19.5363890192166,6,3,2,18.6589210033417,10119
1,1000,50,20,1,2,0.8,rf,0.939301094160462,0.750754582392982,0.798824049850369,22.30818206264,71.1583868144176,14,3,8,99.5234260559082,10120
1,250,20,10,3,2,0.8,rf,0.882327797747948,0.764515427458229,0.873524117155945,7.66778707984463,32.0718174754734,2,0,1,8.53499412536621,10121
1,1000,20,10,3,2,0.8,rf,0.990576782344907,0.87313359815388,0.882105339680774,63.9622014147577,400.429722487894,7,3,5,58.6500179767609,10122
1,250,50,10,3,2,0.8,rf,0.957796207602568,0.585716574308465,0.607527828965324,52.243506633468,106.320844422548,5,2,2,17.3209300041199,10123
1,1000,50,10,3,2,0.8,rf,0.978868639989258,0.771494239563944,0.787850136811316,48.2614198339025,177.1726358141,6,5,2,108.592700004578,10124
1,250,20,20,3,2,0.8,rf,0.993669558173946,0.814249986549342,0.817526151077758,293.1357818246,909.43885900642,10,6,7,8.50996518135071,10125
